question,generated_answer,latency,faithfulness,context_relevancy,answer_correctness,strategy
Što je eRačun i mora li biti u PDF formatu?,"eRačun je račun koji je izdan, poslan i zaprimljen u strukturiranom elektroničkom obliku, a koji omogućuje njegovu automatsku i elektroničku obradu. Nije navedeno da eRačun mora biti u PDF formatu.",5.396137714385986,0.5,0.5,0.5,micro_overlap20
Tko se smatra izdavateljem i primateljem eRačuna prema Zakonu o fiskalizaciji?,"Izdavatelj eRačuna je osoba ili pravna osoba koja izdaje eRačun za tuzemne transakcije, dok je primatelj eRačuna osoba ili pravna osoba koja prima taj eRačun.",2.805874824523926,0.5,0.5,0.5,micro_overlap20
Od kada obveznici koji nisu u sustavu PDV-a moraju izdavati i zaprimati eRačune?,Obveznici koji nisu u sustavu PDV-a moraju izdavati i zaprimati eRačune od 1. siječnja 2027. godine.,2.0529754161834717,0.5,0.5,0.5,micro_overlap20
Što je fiskalizacija eRačuna i kada se mora provesti?,"Fiskalizacija eRačuna je obveza koju izdavatelj i primatelj eRačuna moraju provoditi za svaki izdani i zaprimljeni eRačun. Ova procedura mora se provesti odvojeno od postupka razmjene eRačuna, najkasnije pet radnih dana od primitka eRačuna.",2.521724224090576,0.6,1.0,0.8,micro_overlap20
Koje su glavne razlike između Fiskalizacije 1.0 i Fiskalizacije 2.0?,Nema informacija o razlikama između Fiskalizacije 1.0 i Fiskalizacije 2.0 u dostupnom sadržaju.,1.6767337322235107,0.0,0.0,0.0,micro_overlap20
Što je pristupna točka i tko može biti pristupna točka?,"Pristupna točka je sustav ili komponenta koja omogućava korisnicima da šalju zahtjeve i primaju odgovore u realnom vremenu. Pristupna točka može biti različiti entiteti, uključujući softverske aplikacije, servere ili druge informatičke sustave koji omogućuju razmjenu podataka. Tko može biti pristupna točka ovisi o specifičnim pravilima i standardima koji se primjenjuju u određenom kontekstu.",4.441438436508179,0.5,0.5,0.5,micro_overlap20
Što mora informacijski posrednik napraviti da bi mogao pružati usluge?,Informacijski posrednik koji je brisan s Popisa informacijskih posrednika mora ispuniti uvjete propisane člankom 59. kako bi mogao nastaviti obavljati poslove prema odredbama Zakona. To uključuje dostavu dokumentacije koja je propisana člankom 61.,2.3668694496154785,0.5,0.5,0.5,micro_overlap20
Što je aplikacija MIKROeRAČUN i tko je može koristiti?,"Aplikacija MIKROeRAČUN omogućava izdavanje, zaprimanje i pohranu eRačuna, kao i fiskalizaciju izdanih i zaprimljenih eRačuna. Korištenje ove aplikacije je besplatno, što znači da je dostupna svima koji žele koristiti njezine funkcionalnosti.",2.532714366912842,0.5,0.5,0.5,micro_overlap20
Kada izdavatelj eRačuna mora provoditi postupak eIzvještavanja?,"Izdavatelj eRačuna mora provoditi postupak eIzvještavanja prilikom izdavanja eRačuna, kada se koriste web-servis, usluga informacijskog posrednika ili FiskAplikacija za dostavu podataka.",2.9997849464416504,0.5,0.5,0.5,micro_overlap20
Što mora napraviti primatelj eRačuna koji odbija eRačun?,Primatelj eRačuna mora do 20. dana u mjesecu za prethodni mjesec dostaviti podatke o eRačunima koje je odbio u prethodnom mjesecu.,1.8226075172424316,0.5,0.5,0.5,micro_overlap20
